2023-05-29 13:08:13,611 - INFO] {'__module__': '__main__', 'seed': 1024, 'pass_channel': True, 'CUDA': True, 'device': device(type='cuda', index=0), 'norm': False, 'print_step': 100, 'plot_step': 10000, 'filename': '2023-05-29 13:08:13', 'workdir': './history/2023-05-29 13:08:13', 'log': './history/2023-05-29 13:08:13/Log_2023-05-29 13:08:13.log', 'samples': './history/2023-05-29 13:08:13/samples', 'models': './history/2023-05-29 13:08:13/models', 'logger': <Logger Deep joint source channel coder (INFO)>, 'normalize': False, 'learning_rate': 0.0001, 'tot_epoch': 10000000, 'save_model_freq': 5, 'image_dims': (3, 32, 32), 'train_data_dir': 'media/Dataset/CIFAR10/', 'test_data_dir': 'media/Dataset/CIFAR10/', 'batch_size': 128, 'downsample': 2, 'encoder_kwargs': {'img_size': (32, 32), 'patch_size': 2, 'in_chans': 3, 'embed_dims': [128, 256], 'depths': [2, 4], 'num_heads': [4, 8], 'C': 96, 'window_size': 2, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}, 'decoder_kwargs': {'img_size': (32, 32), 'embed_dims': [256, 128], 'depths': [4, 2], 'num_heads': [8, 4], 'C': 96, 'window_size': 2, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}, '__dict__': <attribute '__dict__' of 'config' objects>, '__weakref__': <attribute '__weakref__' of 'config' objects>, '__doc__': None}
2023-05-29 13:08:13,707 - INFO] Network config: 
2023-05-29 13:08:13,707 - INFO] Encoder: 
2023-05-29 13:08:13,707 - INFO] {'img_size': (32, 32), 'patch_size': 2, 'in_chans': 3, 'embed_dims': [128, 256], 'depths': [2, 4], 'num_heads': [4, 8], 'C': 96, 'window_size': 2, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}
2023-05-29 13:08:13,707 - INFO] Decoder: 
2023-05-29 13:08:13,707 - INFO] {'img_size': (32, 32), 'embed_dims': [256, 128], 'depths': [4, 2], 'num_heads': [8, 4], 'C': 96, 'window_size': 2, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}
2023-05-29 13:08:13,707 - INFO] 【Channel】: Built awgn channel, SNR 1,3,7 dB.
2023-05-29 13:11:55,627 - INFO] Epoch 0 | Step [100/3906=2.56%] | Time 2.190 | Loss 490.229 (2091.887) | CBR 1.0000 (1.0000) | SNR 7.0 (3.8) | PSNR 21.227 (16.530) | MSSSIM 0.884 (0.619) | Lr 0.0001
2023-05-29 13:52:26,824 - INFO] Epoch 0 | Step [1200/3906=30.72%] | Time 2.192 | Loss 68.404 (91.514) | CBR 1.0000 (1.0000) | SNR 7.0 (3.9) | PSNR 29.780 (28.741) | MSSSIM 0.977 (0.960) | Lr 0.0001
2023-05-29 13:56:06,680 - INFO] Epoch 0 | Step [1300/3906=33.28%] | Time 2.134 | Loss 124.048 (89.707) | CBR 1.0000 (1.0000) | SNR 1.0 (3.8) | PSNR 27.195 (28.818) | MSSSIM 0.944 (0.961) | Lr 0.0001
2023-05-29 13:59:46,734 - INFO] Epoch 0 | Step [1400/3906=35.84%] | Time 2.174 | Loss 131.525 (89.600) | CBR 1.0000 (1.0000) | SNR 1.0 (3.9) | PSNR 26.941 (28.840) | MSSSIM 0.942 (0.962) | Lr 0.0001
2023-05-29 14:03:26,547 - INFO] Epoch 0 | Step [1500/3906=38.40%] | Time 2.228 | Loss 51.540 (83.378) | CBR 1.0000 (1.0000) | SNR 7.0 (4.1) | PSNR 31.009 (29.194) | MSSSIM 0.979 (0.964) | Lr 0.0001
2023-05-29 14:07:07,237 - INFO] Epoch 0 | Step [1600/3906=40.96%] | Time 2.197 | Loss 48.670 (80.683) | CBR 1.0000 (1.0000) | SNR 7.0 (4.0) | PSNR 31.258 (29.299) | MSSSIM 0.980 (0.964) | Lr 0.0001
2023-05-29 14:10:46,493 - INFO] Epoch 0 | Step [1700/3906=43.52%] | Time 2.181 | Loss 51.604 (81.480) | CBR 1.0000 (1.0000) | SNR 7.0 (3.9) | PSNR 31.004 (29.302) | MSSSIM 0.980 (0.965) | Lr 0.0001
2023-05-29 14:14:27,703 - INFO] Epoch 0 | Step [1800/3906=46.08%] | Time 2.205 | Loss 83.718 (83.521) | CBR 1.0000 (1.0000) | SNR 3.0 (3.7) | PSNR 28.903 (29.157) | MSSSIM 0.963 (0.964) | Lr 0.0001
2023-05-29 14:18:12,196 - INFO] Epoch 0 | Step [1900/3906=48.64%] | Time 2.200 | Loss 45.370 (78.723) | CBR 1.0000 (1.0000) | SNR 7.0 (3.9) | PSNR 31.563 (29.436) | MSSSIM 0.980 (0.966) | Lr 0.0001
2023-05-29 14:21:54,606 - INFO] Epoch 0 | Step [2000/3906=51.20%] | Time 2.228 | Loss 47.259 (79.216) | CBR 1.0000 (1.0000) | SNR 7.0 (3.7) | PSNR 31.386 (29.425) | MSSSIM 0.981 (0.965) | Lr 0.0001
2023-05-29 14:25:36,412 - INFO] Epoch 0 | Step [2100/3906=53.76%] | Time 2.224 | Loss 44.950 (75.074) | CBR 1.0000 (1.0000) | SNR 7.0 (4.3) | PSNR 31.604 (29.680) | MSSSIM 0.981 (0.968) | Lr 0.0001
2023-05-29 14:29:18,605 - INFO] Epoch 0 | Step [2200/3906=56.32%] | Time 2.237 | Loss 43.925 (76.515) | CBR 1.0000 (1.0000) | SNR 7.0 (3.8) | PSNR 31.704 (29.588) | MSSSIM 0.982 (0.967) | Lr 0.0001
2023-05-29 14:33:01,588 - INFO] Epoch 0 | Step [2300/3906=58.88%] | Time 2.228 | Loss 77.295 (79.021) | CBR 1.0000 (1.0000) | SNR 3.0 (3.5) | PSNR 29.249 (29.420) | MSSSIM 0.968 (0.966) | Lr 0.0001
2023-05-29 14:36:44,111 - INFO] Epoch 0 | Step [2400/3906=61.44%] | Time 2.248 | Loss 110.200 (74.518) | CBR 1.0000 (1.0000) | SNR 1.0 (3.9) | PSNR 27.709 (29.675) | MSSSIM 0.953 (0.968) | Lr 0.0001
2023-05-29 14:40:27,635 - INFO] Epoch 0 | Step [2500/3906=64.00%] | Time 2.189 | Loss 109.303 (78.240) | CBR 1.0000 (1.0000) | SNR 1.0 (3.5) | PSNR 27.744 (29.459) | MSSSIM 0.953 (0.967) | Lr 0.0001
2023-05-29 14:44:12,076 - INFO] Epoch 0 | Step [2600/3906=66.56%] | Time 2.238 | Loss 42.220 (72.249) | CBR 1.0000 (1.0000) | SNR 7.0 (3.9) | PSNR 31.876 (29.809) | MSSSIM 0.984 (0.969) | Lr 0.0001
2023-05-29 14:47:57,708 - INFO] Epoch 0 | Step [2700/3906=69.12%] | Time 2.290 | Loss 43.084 (71.907) | CBR 1.0000 (1.0000) | SNR 7.0 (3.8) | PSNR 31.788 (29.881) | MSSSIM 0.984 (0.969) | Lr 0.0001
2023-05-29 14:51:43,540 - INFO] Epoch 0 | Step [2800/3906=71.68%] | Time 2.223 | Loss 71.125 (73.708) | CBR 1.0000 (1.0000) | SNR 3.0 (3.6) | PSNR 29.611 (29.738) | MSSSIM 0.968 (0.968) | Lr 0.0001
2023-05-29 14:55:31,614 - INFO] Epoch 0 | Step [2900/3906=74.24%] | Time 2.298 | Loss 43.802 (65.502) | CBR 1.0000 (1.0000) | SNR 7.0 (4.1) | PSNR 31.716 (30.257) | MSSSIM 0.984 (0.971) | Lr 0.0001
2023-05-29 14:59:22,305 - INFO] Epoch 0 | Step [3000/3906=76.80%] | Time 2.262 | Loss 94.193 (74.449) | CBR 1.0000 (1.0000) | SNR 1.0 (3.4) | PSNR 28.391 (29.681) | MSSSIM 0.956 (0.968) | Lr 0.0001
2023-05-29 15:03:09,691 - INFO] Epoch 0 | Step [3100/3906=79.37%] | Time 2.281 | Loss 71.621 (64.996) | CBR 1.0000 (1.0000) | SNR 3.0 (4.0) | PSNR 29.580 (30.269) | MSSSIM 0.968 (0.972) | Lr 0.0001
